DateTime,<tspan>IN (In)</tspan>,<tspan>OUT (Out)</tspan>
5/25/2023 0:00,885,959
5/26/2023 0:00,900,936
5/27/2023 0:00,545,618
5/28/2023 0:00,439,448
5/29/2023 0:00,472,491
5/30/2023 0:00,1041,919
5/31/2023 0:00,1125,1077
6/1/2023 0:00,1122,1055
6/2/2023 0:00,1045,1059
6/3/2023 0:00,767,906
6/4/2023 0:00,697,779
6/5/2023 0:00,961,878
6/6/2023 0:00,890,875
6/7/2023 0:00,1076,1108
6/8/2023 0:00,1005,1109
6/9/2023 0:00,917,997
6/10/2023 0:00,675,812
6/11/2023 0:00,585,656
6/12/2023 0:00,754,833
6/13/2023 0:00,818,936
6/14/2023 0:00,788,892
6/15/2023 0:00,718,827
6/16/2023 0:00,509,563
6/17/2023 0:00,349,429
6/18/2023 0:00,212,260
6/19/2023 0:00,270,338
6/20/2023 0:00,415,464
6/21/2023 0:00,402,470
6/22/2023 0:00,404,408
6/23/2023 0:00,337,418
6/24/2023 0:00,274,324
6/25/2023 0:00,229,252
6/26/2023 0:00,500,525
6/27/2023 0:00,539,602
6/28/2023 0:00,546,649
6/29/2023 0:00,488,509
6/30/2023 0:00,381,452
7/1/2023 0:00,245,278
7/2/2023 0:00,196,204
7/3/2023 0:00,355,397
7/4/2023 0:00,207,236
7/5/2023 0:00,520,601
7/6/2023 0:00,469,559
7/7/2023 0:00,437,509
7/8/2023 0:00,294,364
7/9/2023 0:00,249,290
7/10/2023 0:00,463,492
7/11/2023 0:00,510,554
7/12/2023 0:00,538,583
7/13/2023 0:00,474,496
7/14/2023 0:00,360,422
7/15/2023 0:00,200,257
7/16/2023 0:00,165,192
7/17/2023 0:00,410,426
7/18/2023 0:00,469,511
7/19/2023 0:00,490,548
7/20/2023 0:00,472,487
7/21/2023 0:00,332,390
7/22/2023 0:00,279,272
7/23/2023 0:00,184,242
7/24/2023 0:00,422,443
7/25/2023 0:00,432,524
7/26/2023 0:00,504,569
7/27/2023 0:00,491,522
7/28/2023 0:00,407,529
7/29/2023 0:00,331,342
7/30/2023 0:00,236,247
7/31/2023 0:00,418,449
8/1/2023 0:00,472,523
8/2/2023 0:00,496,540
8/3/2023 0:00,438,454
8/4/2023 0:00,407,509
8/5/2023 0:00,245,303
8/6/2023 0:00,165,219
8/7/2023 0:00,368,411
8/8/2023 0:00,450,548
8/9/2023 0:00,510,560
8/10/2023 0:00,457,518
8/11/2023 0:00,436,485
8/12/2023 0:00,285,345
8/13/2023 0:00,231,264
8/14/2023 0:00,354,416
8/15/2023 0:00,366,391
8/16/2023 0:00,369,376
8/17/2023 0:00,310,374
8/18/2023 0:00,314,383
8/19/2023 0:00,300,336
8/20/2023 0:00,195,246
8/21/2023 0:00,312,369
8/22/2023 0:00,377,461
8/23/2023 0:00,445,496
8/24/2023 0:00,352,386
8/25/2023 0:00,323,418
8/26/2023 0:00,227,352
8/27/2023 0:00,224,263
8/28/2023 0:00,356,385
8/29/2023 0:00,418,454
8/30/2023 0:00,339,393
8/31/2023 0:00,364,385
9/1/2023 0:00,305,367
9/2/2023 0:00,251,272
9/3/2023 0:00,178,245
9/4/2023 0:00,191,264
9/5/2023 0:00,370,421
9/6/2023 0:00,418,405
9/7/2023 0:00,408,429
9/8/2023 0:00,346,436
9/9/2023 0:00,273,361
9/10/2023 0:00,178,261
9/11/2023 0:00,330,398
9/12/2023 0:00,442,424
9/13/2023 0:00,418,484
9/14/2023 0:00,392,470
9/15/2023 0:00,337,446
9/16/2023 0:00,310,351
9/17/2023 0:00,228,261
9/18/2023 0:00,450,490
9/19/2023 0:00,468,518
9/20/2023 0:00,581,566
9/21/2023 0:00,616,639
9/22/2023 0:00,633,695
9/23/2023 0:00,524,502
9/24/2023 0:00,522,547
9/25/2023 0:00,866,766
9/26/2023 0:00,1037,1004
9/27/2023 0:00,1457,1279
9/28/2023 0:00,1438,1351
9/29/2023 0:00,1199,1166
9/30/2023 0:00,641,639
10/1/2023 0:00,640,621
10/2/2023 0:00,1453,1262
10/3/2023 0:00,1437,1330
10/4/2023 0:00,1581,1426
10/5/2023 0:00,1454,1324
10/6/2023 0:00,1242,1269
10/7/2023 0:00,838,849
10/8/2023 0:00,661,723
10/9/2023 0:00,1293,1176
10/10/2023 0:00,1420,1231
10/11/2023 0:00,1396,1323
10/12/2023 0:00,1405,1389
10/13/2023 0:00,1206,1184
10/14/2023 0:00,844,936
10/15/2023 0:00,779,775
10/16/2023 0:00,1317,1150
10/17/2023 0:00,1405,1298
10/18/2023 0:00,1440,1491
10/19/2023 0:00,1453,1360
10/20/2023 0:00,1361,1316
10/21/2023 0:00,902,860
10/22/2023 0:00,367,397
10/23/2023 0:00,1325,1174
10/24/2023 0:00,1358,1362
10/25/2023 0:00,1315,1237
10/26/2023 0:00,1420,1390
10/27/2023 0:00,1206,1250
10/28/2023 0:00,692,794
10/29/2023 0:00,613,723
10/30/2023 0:00,1140,1086
10/31/2023 0:00,1273,1309
11/1/2023 0:00,1256,1162
11/2/2023 0:00,1235,1205
11/3/2023 0:00,1178,1249
11/4/2023 0:00,816,935
11/5/2023 0:00,605,666
11/6/2023 0:00,1064,1030
11/7/2023 0:00,1279,1298
11/8/2023 0:00,1310,1245
11/9/2023 0:00,1224,1161
11/10/2023 0:00,569,672
11/11/2023 0:00,638,743
11/12/2023 0:00,547,575
11/13/2023 0:00,1176,1067
11/14/2023 0:00,1183,1211
11/15/2023 0:00,1057,1083
11/16/2023 0:00,1134,1182
11/17/2023 0:00,989,1095
11/18/2023 0:00,468,498
11/19/2023 0:00,589,639
11/20/2023 0:00,940,1148
11/21/2023 0:00,971,1026
11/22/2023 0:00,534,631
11/23/2023 0:00,74,153
11/24/2023 0:00,23,287
11/25/2023 0:00,94,432
11/26/2023 0:00,161,485
11/27/2023 0:00,759,1110
11/28/2023 0:00,946,1078
11/29/2023 0:00,959,1155
11/30/2023 0:00,943,1351
12/1/2023 0:00,751,1182
12/2/2023 0:00,565,843
12/3/2023 0:00,518,779
12/4/2023 0:00,837,1143
12/5/2023 0:00,848,1197
12/6/2023 0:00,646,946
12/7/2023 0:00,853,1006
12/8/2023 0:00,902,963
12/9/2023 0:00,709,825
12/10/2023 0:00,456,700
12/11/2023 0:00,691,803
