DateTime,<tspan>IN (In)</tspan>,<tspan>OUT (Out)</tspan>
5/25/2023 0:00,141,121
5/26/2023 0:00,138,132
5/27/2023 0:00,80,85
5/28/2023 0:00,59,81
5/29/2023 0:00,84,87
5/30/2023 0:00,148,124
5/31/2023 0:00,151,133
6/1/2023 0:00,164,130
6/2/2023 0:00,161,118
6/3/2023 0:00,111,127
6/4/2023 0:00,100,93
6/5/2023 0:00,143,94
6/6/2023 0:00,143,111
6/7/2023 0:00,169,114
6/8/2023 0:00,175,140
6/9/2023 0:00,122,117
6/10/2023 0:00,115,103
6/11/2023 0:00,96,97
6/12/2023 0:00,114,95
6/13/2023 0:00,136,112
6/14/2023 0:00,136,122
6/15/2023 0:00,111,123
6/16/2023 0:00,77,70
6/17/2023 0:00,48,80
6/18/2023 0:00,27,28
6/19/2023 0:00,27,44
6/20/2023 0:00,49,51
6/21/2023 0:00,51,59
6/22/2023 0:00,51,55
6/23/2023 0:00,50,52
6/24/2023 0:00,37,40
6/25/2023 0:00,25,38
6/26/2023 0:00,62,68
6/27/2023 0:00,85,57
6/28/2023 0:00,76,71
6/29/2023 0:00,64,56
6/30/2023 0:00,54,66
7/1/2023 0:00,28,45
7/2/2023 0:00,30,29
7/3/2023 0:00,56,59
7/4/2023 0:00,36,47
7/5/2023 0:00,79,67
7/6/2023 0:00,77,55
7/7/2023 0:00,58,59
7/8/2023 0:00,36,41
7/9/2023 0:00,45,51
7/10/2023 0:00,59,61
7/11/2023 0:00,73,72
7/12/2023 0:00,78,66
7/13/2023 0:00,74,58
7/14/2023 0:00,47,56
7/15/2023 0:00,27,37
7/16/2023 0:00,34,27
7/17/2023 0:00,70,60
7/18/2023 0:00,74,86
7/19/2023 0:00,77,62
7/20/2023 0:00,68,64
7/21/2023 0:00,57,67
7/22/2023 0:00,44,54
7/23/2023 0:00,30,46
7/24/2023 0:00,65,52
7/25/2023 0:00,74,74
7/26/2023 0:00,59,80
7/27/2023 0:00,74,65
7/28/2023 0:00,68,53
7/29/2023 0:00,64,52
7/30/2023 0:00,34,44
7/31/2023 0:00,80,67
8/1/2023 0:00,66,67
8/2/2023 0:00,76,67
8/3/2023 0:00,73,51
8/4/2023 0:00,75,59
8/5/2023 0:00,39,61
8/6/2023 0:00,39,40
8/7/2023 0:00,65,70
8/8/2023 0:00,75,76
8/9/2023 0:00,87,75
8/10/2023 0:00,73,74
8/11/2023 0:00,61,75
8/12/2023 0:00,45,53
8/13/2023 0:00,47,72
8/14/2023 0:00,78,65
8/15/2023 0:00,57,46
8/16/2023 0:00,66,68
8/17/2023 0:00,83,61
8/18/2023 0:00,67,67
8/19/2023 0:00,50,62
8/20/2023 0:00,42,52
8/21/2023 0:00,64,54
8/22/2023 0:00,78,68
8/23/2023 0:00,72,75
8/24/2023 0:00,68,74
8/25/2023 0:00,70,61
8/26/2023 0:00,59,51
8/27/2023 0:00,41,30
8/28/2023 0:00,67,52
8/29/2023 0:00,71,68
8/30/2023 0:00,61,55
8/31/2023 0:00,61,58
9/1/2023 0:00,40,58
9/2/2023 0:00,44,58
9/3/2023 0:00,59,49
9/4/2023 0:00,40,45
9/5/2023 0:00,67,57
9/6/2023 0:00,49,49
9/7/2023 0:00,64,57
9/8/2023 0:00,52,46
9/9/2023 0:00,39,54
9/10/2023 0:00,28,43
9/11/2023 0:00,50,45
9/12/2023 0:00,74,70
9/13/2023 0:00,67,70
9/14/2023 0:00,64,66
9/15/2023 0:00,51,60
9/16/2023 0:00,52,57
9/17/2023 0:00,45,42
9/18/2023 0:00,59,66
9/19/2023 0:00,65,88
9/20/2023 0:00,79,80
9/21/2023 0:00,94,81
9/22/2023 0:00,80,79
9/23/2023 0:00,86,96
9/24/2023 0:00,78,98
9/25/2023 0:00,108,107
9/26/2023 0:00,149,121
9/27/2023 0:00,227,155
9/28/2023 0:00,219,168
9/29/2023 0:00,186,150
9/30/2023 0:00,128,105
10/1/2023 0:00,101,97
10/2/2023 0:00,210,145
10/3/2023 0:00,240,190
10/4/2023 0:00,246,158
10/5/2023 0:00,253,193
10/6/2023 0:00,196,157
10/7/2023 0:00,151,145
10/8/2023 0:00,135,119
10/9/2023 0:00,203,154
10/10/2023 0:00,237,166
10/11/2023 0:00,239,147
10/12/2023 0:00,236,202
10/13/2023 0:00,224,162
10/14/2023 0:00,127,122
10/15/2023 0:00,116,113
10/16/2023 0:00,234,163
10/17/2023 0:00,288,184
10/18/2023 0:00,256,200
10/19/2023 0:00,241,182
10/20/2023 0:00,208,179
10/21/2023 0:00,145,136
10/22/2023 0:00,47,57
10/23/2023 0:00,217,150
10/24/2023 0:00,253,177
10/25/2023 0:00,220,152
10/26/2023 0:00,279,168
10/27/2023 0:00,208,165
10/28/2023 0:00,125,127
10/29/2023 0:00,109,121
10/30/2023 0:00,209,141
10/31/2023 0:00,243,179
11/1/2023 0:00,236,151
11/2/2023 0:00,235,166
11/3/2023 0:00,249,164
11/4/2023 0:00,129,131
11/5/2023 0:00,105,90
11/6/2023 0:00,180,137
11/7/2023 0:00,217,169
11/8/2023 0:00,210,161
11/9/2023 0:00,215,166
11/10/2023 0:00,97,95
11/11/2023 0:00,89,121
11/12/2023 0:00,90,77
11/13/2023 0:00,190,139
11/14/2023 0:00,205,162
11/15/2023 0:00,178,154
11/16/2023 0:00,211,147
11/17/2023 0:00,180,154
11/18/2023 0:00,73,80
11/19/2023 0:00,99,101
11/20/2023 0:00,161,186
11/21/2023 0:00,147,167
11/22/2023 0:00,78,112
11/23/2023 0:00,21,40
11/24/2023 0:00,4,54
11/25/2023 0:00,12,65
11/26/2023 0:00,22,95
11/27/2023 0:00,135,160
11/28/2023 0:00,155,160
11/29/2023 0:00,175,159
11/30/2023 0:00,188,218
12/1/2023 0:00,154,197
12/2/2023 0:00,96,120
12/3/2023 0:00,97,130
12/4/2023 0:00,180,157
12/5/2023 0:00,202,205
12/6/2023 0:00,132,112
12/7/2023 0:00,145,138
12/8/2023 0:00,155,150
12/9/2023 0:00,109,137
12/10/2023 0:00,77,96
12/11/2023 0:00,124,142
12/12/2023 0:00,115,120
12/13/2023 0:00,144,156
12/14/2023 0:00,107,105
12/15/2023 0:00,96,116
12/16/2023 0:00,64,77
12/17/2023 0:00,8,32
12/18/2023 0:00,16,27
12/19/2023 0:00,20,33
12/20/2023 0:00,14,22
12/21/2023 0:00,18,48
12/22/2023 0:00,22,48
12/23/2023 0:00,19,41
12/24/2023 0:00,12,12
12/25/2023 0:00,3,12
12/26/2023 0:00,20,48
12/27/2023 0:00,12,21
12/28/2023 0:00,27,34
12/29/2023 0:00,23,25
12/30/2023 0:00,25,38
12/31/2023 0:00,15,24
1/1/2024 0:00,38,31
1/2/2024 0:00,25,49
1/3/2024 0:00,33,39
1/4/2024 0:00,56,48
1/5/2024 0:00,53,41
1/6/2024 0:00,26,38
1/7/2024 0:00,80,89
1/8/2024 0:00,174,130
1/9/2024 0:00,179,130
1/10/2024 0:00,204,125
1/11/2024 0:00,203,148
1/12/2024 0:00,151,128
1/13/2024 0:00,51,58
1/14/2024 0:00,62,69
1/15/2024 0:00,77,80
1/16/2024 0:00,156,88
1/17/2024 0:00,212,144
1/18/2024 0:00,202,146
1/19/2024 0:00,156,125
1/20/2024 0:00,44,57
1/21/2024 0:00,67,77
1/22/2024 0:00,146,112
1/23/2024 0:00,177,121
1/24/2024 0:00,106,91
1/25/2024 0:00,200,146
1/26/2024 0:00,182,132
1/27/2024 0:00,133,123
1/28/2024 0:00,117,107
1/29/2024 0:00,181,126
1/30/2024 0:00,220,172
1/31/2024 0:00,94,70
2/1/2024 0:00,197,132
2/2/2024 0:00,176,135
2/3/2024 0:00,114,130
2/4/2024 0:00,34,38
2/5/2024 0:00,145,95
2/6/2024 0:00,186,117
2/7/2024 0:00,104,69
2/8/2024 0:00,179,146
2/9/2024 0:00,159,125
2/10/2024 0:00,113,89
2/11/2024 0:00,100,74
2/12/2024 0:00,150,107
2/13/2024 0:00,186,128
2/14/2024 0:00,142,107
2/15/2024 0:00,193,128
2/16/2024 0:00,147,125
2/17/2024 0:00,41,50
2/18/2024 0:00,72,68
2/19/2024 0:00,34,49
2/20/2024 0:00,152,120
2/21/2024 0:00,177,143
2/22/2024 0:00,185,142
2/23/2024 0:00,174,135
2/24/2024 0:00,144,132
2/25/2024 0:00,99,89
2/26/2024 0:00,193,120
2/27/2024 0:00,201,128
2/28/2024 0:00,203,125
2/29/2024 0:00,152,108
3/1/2024 0:00,104,94
3/2/2024 0:00,94,95
3/3/2024 0:00,87,80
3/4/2024 0:00,146,117
3/5/2024 0:00,189,138
3/6/2024 0:00,158,120
3/7/2024 0:00,187,149
3/8/2024 0:00,214,161
3/9/2024 0:00,111,122
3/10/2024 0:00,101,91
3/11/2024 0:00,156,120
3/12/2024 0:00,162,131
3/13/2024 0:00,167,134
3/14/2024 0:00,198,145
3/15/2024 0:00,160,150
3/16/2024 0:00,143,133
3/17/2024 0:00,139,107
3/18/2024 0:00,122,116
3/19/2024 0:00,167,105
3/20/2024 0:00,138,133
3/21/2024 0:00,163,104
3/22/2024 0:00,88,77
3/23/2024 0:00,41,44
3/24/2024 0:00,52,35
3/25/2024 0:00,63,67
3/26/2024 0:00,63,39
3/27/2024 0:00,39,33
3/28/2024 0:00,66,45
3/29/2024 0:00,29,33
3/30/2024 0:00,64,59
3/31/2024 0:00,78,62
4/1/2024 0:00,213,177
4/2/2024 0:00,223,186
4/3/2024 0:00,224,169
4/4/2024 0:00,121,85
4/5/2024 0:00,198,128
4/6/2024 0:00,160,120
4/7/2024 0:00,121,118
4/8/2024 0:00,200,138
4/9/2024 0:00,226,161
4/10/2024 0:00,230,143
4/11/2024 0:00,248,177
4/12/2024 0:00,194,136
4/13/2024 0:00,54,68
4/14/2024 0:00,127,104
4/15/2024 0:00,204,139
4/16/2024 0:00,225,165
4/17/2024 0:00,251,169
4/18/2024 0:00,270,218
4/19/2024 0:00,220,201
4/20/2024 0:00,297,370
4/21/2024 0:00,167,186
4/22/2024 0:00,237,144
4/23/2024 0:00,225,138
4/24/2024 0:00,222,177
4/25/2024 0:00,234,178
4/26/2024 0:00,211,169
4/27/2024 0:00,147,144
4/28/2024 0:00,157,127
4/29/2024 0:00,229,159
4/30/2024 0:00,287,175
5/1/2024 0:00,228,180
5/2/2024 0:00,269,193
5/3/2024 0:00,218,192
5/4/2024 0:00,105,94
5/5/2024 0:00,157,150
5/6/2024 0:00,239,170
5/7/2024 0:00,250,220
5/8/2024 0:00,232,186
5/9/2024 0:00,256,195
5/10/2024 0:00,247,187
5/11/2024 0:00,206,175
5/12/2024 0:00,153,146
5/13/2024 0:00,225,145
5/14/2024 0:00,248,177
5/15/2024 0:00,247,172
5/16/2024 0:00,275,208
5/17/2024 0:00,261,173
5/18/2024 0:00,190,171
5/19/2024 0:00,161,129
5/20/2024 0:00,211,159
5/21/2024 0:00,250,188
5/22/2024 0:00,270,190
5/23/2024 0:00,276,190
5/24/2024 0:00,215,171
5/25/2024 0:00,128,139
5/26/2024 0:00,115,116
5/27/2024 0:00,126,121
5/28/2024 0:00,253,165
5/29/2024 0:00,251,177
5/30/2024 0:00,247,191
5/31/2024 0:00,241,185
6/1/2024 0:00,140,143
6/2/2024 0:00,152,152
6/3/2024 0:00,226,180
6/4/2024 0:00,248,162
6/5/2024 0:00,243,185
6/6/2024 0:00,244,196
6/7/2024 0:00,189,161
6/8/2024 0:00,208,187
6/9/2024 0:00,173,140
6/10/2024 0:00,217,160
6/11/2024 0:00,208,144
6/12/2024 0:00,228,170
6/13/2024 0:00,203,178
6/14/2024 0:00,104,111
6/15/2024 0:00,79,86
6/16/2024 0:00,81,70
6/17/2024 0:00,106,74
6/18/2024 0:00,85,89
6/19/2024 0:00,76,69
6/20/2024 0:00,94,73
6/21/2024 0:00,96,73
6/22/2024 0:00,57,47
6/23/2024 0:00,56,45
6/24/2024 0:00,106,89
6/25/2024 0:00,134,94
6/26/2024 0:00,133,96
6/27/2024 0:00,118,99
6/28/2024 0:00,111,89
6/29/2024 0:00,66,51
6/30/2024 0:00,67,53
7/1/2024 0:00,118,79
